order_item_id,order_id,product_id,quantity,unit_price,discount_pct
7534,104038,1054,4,61.29,0.20
7535,104039,1078,2,68.03,0.20
7536,104040,1039,2,125.57,0.15
7537,104040,1010,1,42.65,0.20
7538,104040,1046,1,47.85,0.00
7539,104041,1049,1,53.08,0.00
7540,104041,1046,2,47.85,0.00
7541,104042,1002,1,20.29,0.10
7542,104042,1027,1,123.47,0.00
7543,104042,1034,1,68.99,0.15
7544,104043,1033,1,210.53,0.00
7545,104043,1072,2,25.15,0.00
7546,104043,1021,1,16.90,0.00
7547,104044,1045,1,85.65,0.20
7548,104044,1001,1,17.80,0.20
7549,104044,1060,2,63.95,0.10
7550,104045,1048,1,18.53,0.15
7551,104045,1021,1,16.90,0.00
7552,104046,1032,1,104.13,0.00
7553,104047,1024,1,31.59,0.00
7554,104047,1010,2,42.65,0.10
7555,104048,1043,1,185.49,0.10
7556,104048,1066,1,18.19,0.05
7557,104049,1047,4,70.37,0.00
7558,104049,1032,1,104.13,0.10
7559,104050,1001,1,17.80,0.00
7560,104051,1024,2,31.59,0.00
7561,104052,1018,2,17.88,0.20
7562,104052,1070,1,14.18,0.00
7563,104052,1040,1,123.72,0.00
7564,104052,1030,1,125.08,0.00
7565,104053,1041,4,81.45,0.20
7566,104053,1064,1,42.55,0.05
7567,104054,1031,4,146.40,0.00
7568,104055,1055,1,50.44,0.00
7569,104055,1055,3,50.44,0.00
7570,104055,1020,1,41.32,0.00
7571,104056,1006,2,38.50,0.00
7572,104056,1064,2,42.55,0.10
7573,104057,1042,1,205.47,0.15
7574,104057,1026,3,22.74,0.15
7575,104057,1057,3,56.24,0.00
7576,104058,1050,1,79.54,0.10
7577,104058,1007,2,45.10,0.20
7578,104059,1054,2,61.29,0.00
7579,104060,1048,3,18.53,0.00
7580,104060,1034,4,68.99,0.00
7581,104061,1037,1,145.98,0.20
7582,104062,1033,2,210.53,0.15
7583,104062,1060,1,63.95,0.10
7584,104063,1023,1,10.70,0.00
7585,104063,1049,1,53.08,0.15
7586,104064,1062,2,48.81,0.05
7587,104065,1036,1,193.46,0.00
7588,104065,1071,2,31.77,0.00
7589,104065,1017,1,25.52,0.10
7590,104066,1075,2,74.40,0.15
7591,104066,1023,1,10.70,0.10
7592,104067,1045,1,85.65,0.10
7593,104068,1059,1,46.39,0.00
7594,104068,1032,1,104.13,0.00
7595,104069,1026,2,22.74,0.00
7596,104069,1022,2,27.34,0.10
7597,104070,1001,1,17.80,0.15
7598,104070,1028,2,191.46,0.15
7599,104071,1060,1,63.95,0.20
7600,104072,1067,1,33.59,0.05
7601,104073,1074,1,27.33,0.00
7602,104073,1032,1,104.13,0.05
7603,104074,1062,1,48.81,0.20
7604,104074,1021,1,16.90,0.05
7605,104074,1069,1,49.10,0.00
